epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,13576.1,1.05216,0.7957,1.16968,0.77703,0.84315,0.7863,0.5742,0.87217,0.51641,1.01599,0.00637,0.00637,0.00637
57,13816.6,1.04717,0.78717,1.16166,0.77903,0.84731,0.78579,0.57549,0.8608,0.51233,1.0107,0.006304,0.006304,0.006304
58,14056.1,1.04258,0.78417,1.15994,0.78204,0.84551,0.7844,0.57814,0.83825,0.50887,1.00589,0.006238,0.006238,0.006238
59,14295.3,1.0435,0.78465,1.15942,0.77946,0.85577,0.7895,0.58509,0.82634,0.50328,0.99983,0.006172,0.006172,0.006172
60,14534.3,1.03721,0.77996,1.15735,0.77245,0.86018,0.78991,0.58469,0.8255,0.50285,0.99794,0.006106,0.006106,0.006106
61,14772.3,1.03187,0.77663,1.15043,0.77807,0.85371,0.79287,0.5875,0.82282,0.49916,0.99528,0.00604,0.00604,0.00604
62,15011.2,1.02747,0.77043,1.14602,0.78271,0.8575,0.79475,0.59007,0.82133,0.49658,0.99235,0.005974,0.005974,0.005974
63,15250.9,1.02993,0.77592,1.15197,0.78683,0.85553,0.79676,0.59077,0.81332,0.49411,0.99033,0.005908,0.005908,0.005908
64,15490.8,1.02536,0.76789,1.14953,0.78511,0.85317,0.79444,0.59131,0.80414,0.49022,0.98773,0.005842,0.005842,0.005842
65,15730.3,1.02301,0.76625,1.1494,0.78441,0.85704,0.79718,0.59451,0.80147,0.48902,0.98576,0.005776,0.005776,0.005776
66,15969.4,1.0171,0.76514,1.14367,0.78133,0.85697,0.79638,0.59405,0.80039,0.48631,0.98477,0.00571,0.00571,0.00571
67,16207.8,1.01178,0.75644,1.13728,0.78477,0.85346,0.79676,0.59394,0.80182,0.48541,0.98405,0.005644,0.005644,0.005644
68,16446.7,1.0045,0.75091,1.13601,0.78516,0.85237,0.7964,0.59407,0.79647,0.48298,0.98211,0.005578,0.005578,0.005578
